Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,807,TFYR of Macedonia,MKD,01,Live animals,1,No Quantity,,,46065,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,818,Egypt,EGY,01,Live animals,1,No Quantity,,,18529,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,818,Egypt,EGY,01,Live animals,1,No Quantity,,,2736285,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,826,United Kingdom,GBR,01,Live animals,1,No Quantity,,,1158606,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,834,United Rep. of Tanzania,TZA,01,Live animals,1,No Quantity,,,8742,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,842,USA,USA,01,Live animals,1,No Quantity,,,76195493,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,01,Live animals,1,No Quantity,,,30798071,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,860,Uzbekistan,UZB,01,Live animals,1,No Quantity,,,203403,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,860,Uzbekistan,UZB,01,Live animals,1,No Quantity,,,223386,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,862,Venezuela,VEN,01,Live animals,1,No Quantity,,,51082,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,894,Zambia,ZMB,01,Live animals,1,No Quantity,,,37648,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,894,Zambia,ZMB,01,Live animals,1,No Quantity,,,963246,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,02,Meat and edible meat offal,1,No Quantity,,,5723306728,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,0,World,WLD,02,Meat and edible meat offal,1,No Quantity,,,2135465806,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,4,Afghanistan,AFG,02,Meat and edible meat offal,1,No Quantity,,,12582665,0
